Step,Image,Issue Type,Detection Method,Treatment,Rationale
Part 3,evoDJI_0009_frame62,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame252,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame97,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0001_frame278,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0028_frame317,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame79,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0001_frame276,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0001_frame2,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0030_frame86,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame158,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame154,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0030_frame204,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0030_frame224,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame66,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame129,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame271,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame195,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame197,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0048_frame186,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame214,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame200,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame130,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0048_frame183,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0001_frame119,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame221,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame58,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0001_frame121,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0001_frame282,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame126,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0036_frame112,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0028_frame309,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame237,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame218,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0001_frame5,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0028_frame39,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame199,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0036_frame106,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0036_frame242,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame244,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0030_frame219,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0038_frame36,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame268,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0036_frame239,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame93,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0030_frame208,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame151,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame157,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame152,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame107,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame188,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame58,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0048_frame184,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame278,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame207,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame69,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0030_frame329,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame185,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame49,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame142,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame81,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0001_frame274,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame193,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0028_frame302,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame187,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0048_frame93,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0036_frame122,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame46,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0028_frame326,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0028_frame44,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0033_frame178,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame78,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0001_frame117,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0028_frame298,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame177,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame127,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame189,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame182,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame276,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0001_frame122,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame4,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0028_frame314,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0028_frame297,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame241,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame281,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame186,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0048_frame173,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame74,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0036_frame100,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0028_frame299,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame91,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame209,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0036_frame111,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame192,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame215,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame149,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame255,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame217,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame227,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame174,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0036_frame104,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame77,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0048_frame102,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame82,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0036_frame232,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame156,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame47,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0038_frame37,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame219,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0029_frame212,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0036_frame124,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame147,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame128,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame131,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame27,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0028_frame296,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0030_frame202,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0030_frame209,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame61,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame112,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0030_frame211,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame49,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame132,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame230,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame11,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame273,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0048_frame97,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame223,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame194,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame138,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0036_frame126,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame208,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame236,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0001_frame4,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame99,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0048_frame88,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame144,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0029_frame163,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame54,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0001_frame273,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame191,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame212,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame71,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0001_frame268,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0029_frame77,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame137,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame149,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame269,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame128,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0030_frame212,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame201,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame277,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0001_frame8,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0001_frame271,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0036_frame107,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame213,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame229,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame283,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0038_frame43,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0036_frame238,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame123,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0030_frame206,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame8,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame256,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0048_frame176,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame161,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0001_frame6,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame142,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame87,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame137,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0036_frame102,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame153,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame166,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame67,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0033_frame176,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0048_frame94,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame241,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame108,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame52,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame163,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame216,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame141,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame129,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame250,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame132,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame121,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0036_frame231,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame83,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame102,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame109,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame282,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0007_frame57,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0009_frame63,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,evoDJI_0001_frame279,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
Part 3,heinola_DJI_0028_frame319,Blurry Image,Laplacian Var < 50,Flagged,Loss of 4K texture
